City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,dwarka,22.2394,68.9678,27.05,75,2,1.8,IN,1683168363
337,polyarnyy,69.1989,33.4478,-1.21,78,100,10.6,RU,1683168113
338,feijo,-8.1642,-70.3536,24.48,86,94,0.21,BR,1683168668
339,forster,-32.1667,152.5167,20.77,41,0,1.34,AU,1683168669
340,nola,40.922,14.5329,15.35,93,96,2.36,IT,1683168669
341,pudozh,61.8099,36.5345,0.81,82,44,1.81,RU,1683168670
342,goundam,16.4145,-3.6708,28.7,9,0,1.92,ML,1683168671
343,kuala belait,4.5833,114.1833,29.09,72,91,1.03,BN,1683168671
344,chamical,-30.36,-66.314,12.94,35,1,1.43,AR,1683168672
345,saint-louis,16.3333,-15,26.91,30,7,3.82,SN,1683168672
346,kone,-21.0595,164.8658,27.67,72,39,2.21,NC,1683168240
347,korla,41.7597,86.1469,7.13,65,100,9.93,CN,1683168673
348,panguipulli,-39.6333,-72.3333,5.65,98,95,0.85,CL,1683168674
349,vizinga,61.0749,50.1031,7.95,82,99,3.37,RU,1683168675
350,kormilovka,55.0026,74.1028,11.67,30,75,5.81,RU,1683168676
351,igarka,67.4667,86.5833,-0.43,92,99,2.9,RU,1683168312
352,andergrove,-21.0833,149.1833,28.14,67,25,6.59,AU,1683168677
353,geraldton,-28.7667,114.6,23.85,45,5,4.57,AU,1683168168
354,masterton,-40.9597,175.6575,16.6,97,100,1.21,NZ,1683168679
355,khovd,48.0056,91.6419,0.68,40,68,2.2,MN,1683168252
356,whangarei,-35.7317,174.3239,18.3,96,100,4.06,NZ,1683168228
357,puerto deseado,-47.7503,-65.8938,14.47,50,98,10.37,AR,1683168113
358,el granada,37.5027,-122.4694,13.29,91,100,3.6,US,1683168681
359,enewetak,11.3474,162.3373,27.22,78,100,8.3,MH,1683168247
360,nikolayevsk-on-amure,53.1406,140.73,5.44,75,79,5.51,RU,1683168234
361,carolina beach,34.0352,-77.8936,15.04,50,0,6.09,US,1683168683
